Kategorie;Name;Sprache;Beschreibung;Nutzen;;;Link;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Arboreal-Baumhöhe;Deutsch;ein nützliches Werkzeug für die Messung der Baumhöhe. Sie verwendet die Kamerafunktion des Geräts in Verbindung mit Bildanalysealgorithmen, um die Höhe von Bäumen zu bestimmen.;(1)Holz, (2)Bildung, Ortsbewusstsein;Holz#weil man messen kann wieviel Festmeter der Wald hat. Bildung#weil durch regelmäßige Messungen etwas über das Baumwachstum gelernt werden kann sowie bei häufger Nutzung ein Verständnis für die Höhe von Bäumen ausgebildet werden kann.Ortsbewusstsein#weil heimische Bäume vermessen werden können und dadurch ein Bewusstsein über diese entsteht. Zum Beispiel über die schöne Eiche im Ort. Durch das eintragen in Google Maps wird dieses Wissen auch für andere sichtbar und das Wissen ist jederzeit abrufbar und es werden Muster erkennbar.;;https://apps.apple.com/de/app/arboreal-tree-height/id1444138299;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;BitterlichRelascope;Englisch;ermöglicht die Messung von Baumstämmen mit einem Relaskop und berechnet automatisch den Holzvorrat und andere relevante Parameter. Die App bietet auch Funktionen wie das Aufzeichnen von GPS-Standorten, das Hinzufügen von Notizen und das Speichern von Messdaten für spätere Analysen.;(1)Holz,(2)Klimaregulation;Holz#weil man mit der App Festmeter Holz zur Ernte messen kann.Klimaregulation#weil man an Hand der Baumdicke eventuell auch aufgenommenes CO2 einschätzen kann?;;https://play.google.com/store/apps/details?id=ee.deskis.adnroid.relascope;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;ForestMetrixPro;Englisch;Forest Metrix ist eine umfassende Forstwirtschaftssoftware, die Funktionen wie Bestandserfassung, Baumvermessung, Holzvorratsberechnung, Waldinventarverwaltung und Forstwirtschaftsplanung bietet. Sie ermöglicht die Integration von GPS-Daten, die Erstellung von Karten und Berichten sowie die Analyse von Waldressourcen.;(1)Holz,(2)Klimaregulation;Holz#weil die App die Verwaltung von Wäldern zur Holzgewinnung ermöglicht. Klimaregulation#weil die App dabei auch den CO2 bestand erfassen kann? ;;https://forestmetrix.com/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;ForestManager;Deutsch;Der ForestManager hilft Ihnen Objekte und Beobachtungen zu lokalisieren und schnell zu erfassen;(1)Holz;Holz#weil die App die Erfassung und Ernte von Bäumen digital begleitet;;https://forestmanager.de/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;ForstApp;Deutsch;Diese App umfasst viele wichtige Funktionen, die vor allem in der Forstwirtschaft großen Nutzen haben können. Unter anderem umfasst die App, die Massenberechnung am liegenden, sowohl als auch am stehenden Stamm. Ebenfalls kann mit der App die Höhe eines Baumes, oder eines anderen Gegenstandes gemessen werden.;(1)Holz,(2)Klimaregulation;Holz#weil die App Baumhöhe und Umfang von Bäumen erfasst, sowie errechnet wie viele Setzlinge für eine Fläche bemötigt werdenKlimaregulation#weil man damit auch gebundenes CO2 erfassen kann, oder einen Klimawald planen kann;;https://forst-jagdapp.jimdofree.com/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Holzrechner;Deutsch;Das Volumen, Gewicht oder den Heizwert für verschiedene Holzarten zu berechnen;(1)Holz,(2)Klimaregulation;Holz#weil die App die Errechnung von Holzfestmeter ermöglichtKlimaregulation#weil man damit auch gebundenes CO2 feststellen kann?;;http://www.holzrechner.de/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;iBitterlich;Englisch;Measure stand basal area using Bitterlich's method and stand volume;(1)Holz,(2)Klimaregulation;Holz#weil durch die Anwendung (Verfahren nach Spiegelrelaskop Bitterlich) über die Winkelzählprobe die Grundfläche des Bestandes (in der Regel bei BHD 1,3 m gemessen) ermittelt werden kann. Aus den abgeleiteten m2/ha kann dann der Holzvorrat berechnet werden. Zusätzlich können Höhen über das Spiegelrelaskop ausgegeben werden, so dass das Tool bzw. die App eine wichtige Grundlage für Inventuren und damit für die Erfassung von Holzvorräten darstellt.Klimaregulation#aus der ermittelten Biomasse kann über den Faktor 0,5 auf den gebundenen Kohlenstoff geschlossen werden. Um das CO2-Äquivalent zu erhalten, kann das Ergebnis mit dem Faktor 3,67 multipliziert werden.;;http://www.taakkumn.com/taakkumnRoom/iBitterlich.html;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;iCruisePro;Englisch;Timber inventory;(1)Holz,(2)Klimaregulation;Holz#weil die Software iCruisePro eine komplette Holzinventuranwendung für iPad, iPhone oder Computer bietet. Die Software ermöglicht die Erfassung der Daten vor Ort, die sofortige Bearbeitung des Auftrags auf dem mobilen Gerät und die Erstellung der endgültigen Bestands- und Vorratstabellen. Alles kann auf dem mobilen Gerät erledigt werden.Klimaregulation#weil man aus der festgestellten Biomasse über den Faktor 0,5 auf den gebundenen Kohlenstoff schließen kann. Zur Erhaltung des CO2 Äquivalentes kann das vorrangegange Ergebnis mit dem Faktor 3,67 multipliziert werden.;;http://www.icruisepro.com/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;KATAMForest;Deutsch;Baumstämme per Smartphone scannen und analysieren, Walderfassung per Drohne, Unterstützung bei der Planung von Durchforstungen;(1)Holz,(2)Klimaregulation;Holz#weil die App eine automatiserte Waldinventur mit dem Smartphoone ermöglicht und relavante Indikatoren der Biomasse ausgibt: Baumart, Baumhöhe, Bestandesdichte, BHD, Bestandesstatistiken, Holzvolumen.Klimaregulation#weil man aus der festgestellten Biomasse über den Faktor 0,5 auf den gebundenen Kohlenstoff schließen kann. Zur Erhaltung des CO2 Äquivalentes kann das vorrangegange Ergebnis mit dem Faktor 3,67 multipliziert werden.;;https://www.katam.se/de/reports-and-tools-for-precision-forestry/scan-and-analyse-tree-trunks-by-smartphone/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;KATAMTreeMap;Deutsch;Baumkronen per Drohne scannen und vermessen;(1)Holz,(2)Klimaregulation, Primärproduktion;Holz#weil die App über Kartendarstellungen, Baumart, Baumhöhe,Bestandesdichte, Waldvitalität Informationen über die vorhanene Biomasse zulässt.Klimaregulation#weil man aus der festgestellten Biomasse über den Faktor 0,5 auf den gebundenen Kohlenstoff schließen kann. Zur Erhaltung des CO2 Äquivalentes kann das vorrangegange Ergebnis mit 3,67 multipliziert werden.Primärproduktoin#weil die App Infomationen zur Waldvitalität erlaubt, wodurch Photosyntheseleistungen  evaluiert werden können.;;https://www.katam.se/de/reports-and-tools-for-precision-forestry/localize-and-analyze-each-treetop-by-drone/;;;;;;;;;;;;;;
